VTAS,Altitude,Drag,Lift,Moment,CL,CD,CM,Elevator Deflection
41.1522633744856,304.8,1374.5718146575512,13192.981519295961,8996.475507584018,2.205340416895524,0.2297735939640345,2.3497686792627483,-50.0000004971642
46.2962962962963,304.8,1154.6241783097298,13524.935986373437,8071.063218494563,1.7863347883677823,0.1524994528094831,1.6656295338521416,-50.00000049748223
51.440329218106996,304.8,1000.4364170791259,13716.921458076064,6868.645486845379,1.4674702602504819,0.10702916786556288,1.14816362619111,-50.000000497893716
56.584362139917694,304.8,901.5312345627681,13801.533834746895,5428.25338753089,1.2202663653314427,0.07970912914498189,0.7499070291991713,-50.00000044907949
61.7283950617284,304.8,837.6630661533094,13651.889963981197,3622.313318645802,1.0142451595879465,0.06223282728275307,0.42049051445905766,-50.00000049799306
66.8724279835391,304.8,830.8783568649947,13669.819456123338,1860.8626807721905,0.8653438883557109,0.052597293650289395,0.1840603757885266,-50.000000497325644
72.0164609053498,304.8,829.4836010967479,13353.555040794086,1050.8262782046136,0.7288757245848143,0.04527561828544052,0.08962053580948565,2.6597753957146386
77.1604938271605,304.8,877.1904479950421,13370.092728274316,657.4518975655753,0.6357180724390624,0.04170844825796069,0.04884432899233071,48.13514388765882
41.1522633744856,609.6,1418.641271934769,13195.230062181769,9146.38589091116,2.2753617523327776,0.24462795079962216,2.4643536587396517,-50.000000497216206
46.2962962962963,609.6,1191.2179077268884,13549.426430577594,8281.134473587274,1.8460750517726359,0.16230042444576473,1.7629431389577572,-50.00000049754795
51.440329218107,609.6,1028.731393231062,13759.450326244281,7137.173059953934,1.5184991234764986,0.11353125901654504,1.2307212927603877,-50.000000497938515
56.584362139917694,609.6,921.479667320637,13859.38078105665,5755.766199748841,1.2640723085889947,0.08404538043863528,0.8202594851134644,-50.00000049832849
61.7283950617284,609.6,847.6173134769633,13707.308315275526,3994.224625232396,1.0505171581290849,0.06496071371959439,0.4783034127805715,-50.00000049790644
66.87242798353911,609.6,834.7965452350517,13756.227260282712,2315.6438134732052,0.8983097186201604,0.05451391834884309,0.23627541811912817,-50.00000049678102
72.0164609053498,609.6,822.4382244348465,13349.972193252812,1218.424248970146,0.7516882309394416,0.04630849600532182,0.10719535064661243,-5.266019535275831
77.1604938271605,609.6,4448.631255213258,-28766.96803265827,-41027.093352483,-1.4109935662618536,0.21820130896837034,-3.1442836568370267,-50.00000049966224
41.1522633744856,914.4000000000001,1463.6118111590529,13192.0119810259,9286.74328753788,2.346926515432096,0.2603840394360866,2.5814987621488665,-50.000000497250525
46.2962962962963,914.4000000000001,1229.0748307412614,13568.724736281549,8481.284137245588,1.9073150771591163,0.17276737506225098,1.8627949364071987,-50.00000049759695
51.440329218106996,914.4000000000001,1058.4868254773812,13797.060530306275,7395.211749493382,1.5709233613272338,0.12051854655178562,1.3156460566503578,-50.00000049797395
56.584362139917694,914.4000000000001,942.9945552032854,13912.52081440566,6071.9709594414335,1.3091484181843365,0.08873444624230462,0.892755984300926,-50.000000498344214
61.7283950617284,914.4000000000001,859.031753598504,13758.029458628716,4353.585472205973,1.087832855316555,0.0679227332762078,0.5378646940019501,-50.00000049772947
66.87242798353911,914.4000000000001,840.3933947727071,13838.062725376149,2756.700974783055,0.9323028649032375,0.0566192815527258,0.29019599187631334,-50.00000049607918
72.0164609053498,914.4000000000001,818.5533921506535,13345.798688279192,1195.1340534091137,0.7752770476791067,0.04755096881474861,0.10847983208864673,-20.88607566140669
77.1604938271605,914.4000000000001,851.5998266997772,13362.679975782597,854.8763223624004,0.6762067131871742,0.043094463147142596,0.06759416771816512,28.903945277840247
41.15226337448559,1219.2,1509.3793879138768,13183.34176761519,9417.477033870866,2.419981855265375,0.2770671348622628,2.7011033064101513,-50.00000049726999
46.2962962962963,1219.2,1268.122238086615,13582.815639406717,8671.409066755143,1.970023287105484,0.1839258078920724,1.965129856798167,-50.00000049763179
51.440329218106996,1219.2,1089.654945886572,13829.722341150915,7642.646838015705,1.6247256378606674,0.1280134397012239,1.4029118716797835,-50.00000049800075
56.584362139917694,1219.2,966.0462172499422,13960.917980882707,6376.7497463548825,1.3554864422536217,0.09379487451081638,0.9673877908969166,-50.00000049835614
61.7283950617284,1219.2,871.8810594387888,13804.006261163253,4700.267731731874,1.1261836767044566,0.07113139465390306,0.5991653681309448,-50.00000049772482
66.8724279835391,1219.2,821.2521959023937,13516.73590155065,2778.657483211294,0.9396187975463663,0.057089522678888345,0.30181089278235607,-50.000000498170294
72.0164609053498,1219.2,813.6723269733271,13342.269868170762,1446.9415018351035,0.7997241703572034,0.0487708188382321,0.13551316880764885,-25.88031758252792
77.1604938271605,1219.2,841.1964356522232,13358.947487930775,950.9872812191046,0.6975194100251577,0.043921936368228706,0.0775851830693284,18.781468356396353
41.1522633744856,1524.0,1555.938507287793,13169.215399509862,9538.80850620102,2.4946366688356227,0.29474050936078966,2.8233294413670826,-50.00000049727675
46.2962962962963,1524.0,1308.371451570621,13591.714329548477,8851.82736406339,2.0343074692527616,0.1958273807080238,2.0701190269581726,-50.000000497654526
51.440329218106996,1524.0,1122.2553411714005,13857.476843302093,7879.911059541601,1.6800087208052092,0.13605642509512628,1.4926868822441364,-50.000000498019645
56.584362139917694,1524.0,988.535886867657,13986.550124391706,6651.972573261928,1.4013693362798,0.09904543059925872,1.0413877871774468,-50.00000049705359
61.7283950617284,1524.0,886.1671942796054,13845.291073477547,5034.91118241464,1.1656467924896725,0.07460716731339506,0.6623335010511606,-50.00000049762959
66.87242798353911,1524.0,856.6063447404845,13988.030337417911,3598.1059414060123,1.0034534616919673,0.06145000984433175,0.4033059622389418,-50.00000049971556
72.01646090534982,1524.0,811.5117854215212,13338.226836725056,1566.382297474293,0.8250293568092538,0.05019565603173043,0.15138717874829408,-36.39233700813273
77.16049382716048,1524.0,832.5542663594659,13355.13279103043,1021.5114988479467,0.7196031687491307,0.04485980765614346,0.08600191904989338,7.409569696369002
41.1522633744856,1828.8000000000002,1603.2125574949534,13149.632917499193,9650.74588225451,2.5708915441633153,0.31344491769615757,2.948159886289866,-50.000000497272445
46.2962962962963,1828.8000000000002,1349.7739499651957,13595.404372363904,9022.55047867594,2.1001833499226406,0.20850963297852407,2.1777821215075455,-50.000000497666655
51.440329218106996,1828.8000000000002,1156.260947328463,13880.30490215512,8107.041575969355,1.7367971855516475,0.14467915317707145,1.5850118985529722,-50.00000049803127
56.584362139917694,1828.8000000000002,1011.0419127399088,13996.615663336519,6905.0988760100645,1.447397331358905,0.10455237191551961,1.1157185608185831,-50.00000049693965
61.728395061728406,1828.8000000000002,901.8738823867425,13881.855257271505,5357.606209037193,1.2062438725139772,0.07836703554732379,0.7274085871925293,-50.00000049753126
66.87242798353911,1828.8000000000002,867.2301877884383,14056.296551265043,3999.4351781019272,1.0407209736022194,0.0642092774637137,0.4626814459574217,-50.00000048899601
72.0164609053498,1828.8000000000002,810.8298008949332,13334.056141545349,1689.5962678490944,0.8512483997522211,0.05176351165439381,0.1685376743165915,-47.02700990438523
77.16049382716051,1828.8000000000002,824.8976945697464,13351.469830078842,1174.4733436244383,0.7425003473089176,0.04587411217696211,0.10205417416637405,-1.2230420288479797
41.15226337448559,2133.6,1651.1244740575212,13124.595665668205,9753.309910324104,2.6487511041512053,0.33322304817291115,3.0755816993563676,-50.00000049725826
46.296296296296305,2133.6,1392.2805324883611,13593.87031819382,9183.603298349273,2.1676706412855964,0.22201224258180885,2.2881437994982328,-50.000000497669426
51.440329218106996,2133.6,1191.6443111583992,13898.188480484621,8324.091465077296,1.7951196009029213,0.15391531516993154,1.679933387727458,-50.00000049803613
56.584362139917694,2133.6,1034.754144652863,14001.968726061694,7147.433496645064,1.4946479985757115,0.11045541106263643,1.192119990824665,-50.00000049682216
61.7283950617284,2133.6,918.9839195780719,13913.671037261018,5668.465904201829,1.2479995561698762,0.08242911023908028,0.7944348082255565,-50.00000049742976
66.8724279835391,2133.6,846.6729943332559,13702.571437042756,3961.6703880365444,1.0472504658455248,0.06470892648202736,0.4730933599830914,-50.00000049791426
72.0164609053498,2133.6,813.0336793781105,13391.375956672102,2051.052951026904,0.8824788861114901,0.05357814298322664,0.21119129783533477,-50.00000049830507
77.1604938271605,2133.6,820.145811895716,13347.301852680428,1167.2216226455482,0.76620707187234,0.04708079040819646,0.10469501996363752,-16.312845705659395
41.1522633744856,2438.4,1685.587917743684,13041.43426781427,9791.49769841405,2.7173181803999324,0.3512097365587557,3.1877502603984857,-50.000000493556165
46.2962962962963,2438.4,1435.875984148605,13587.088413860169,9335.13469962425,2.2368481065145556,0.23638886996982675,2.401323703071185,-50.00000049766375
51.440329218106996,2438.4,1227.7480739599987,13907.20401785364,8527.20131894375,1.8545345876631185,0.16372099418204972,1.776730894475427,-50.00000049590895
56.584362139917694,2438.4,1059.6622513102882,14002.564272758722,7379.232189651724,1.5431825941319848,0.11678234857754233,1.2706938943590051,-50.00000049670094
61.72839506172839,2438.4,937.4945281232523,13940.728738334905,5967.849619145555,1.2909757851878474,0.08681631765957333,0.8635162538586519,-50.00000047513316
66.87242798353911,2438.4,858.2325788605314,13754.822445675316,4330.2194227837035,1.0853339687256134,0.06771944709451219,0.5338734662588539,-50.00000049782303
72.0164609053498,2438.4,817.4013098123233,13468.080140982976,2491.157056737601,0.9163148656406731,0.05561274981547022,0.2648257282032012,-50.000000498225354
77.1604938271605,2438.4,814.8106732177755,13343.679262115653,1404.817389011888,0.7908391998055431,0.048291345148713784,0.13009257018523557,-22.134011837104737
